Date,Time,Latitude,Longitude,Altitude,Speed
12/04/2022,07:20:20,-33.89134,18.95951,235.9,1.09
12/04/2022,07:20:22,-33.89134,18.95952,235.9,1.09
12/04/2022,07:20:24,-33.89134,18.95952,235.9,0.41
12/04/2022,07:20:25,-33.89134,18.95952,235.9,0.33
12/04/2022,07:20:27,-33.89134,18.95952,235.9,0.31
12/04/2022,07:20:28,-33.89134,18.95952,235.9,0.28
12/04/2022,07:20:30,-33.89134,18.95952,235.9,0.22
12/04/2022,07:20:31,-33.89134,18.95952,235.9,0.3
12/04/2022,07:20:32,-33.89134,18.95952,235.9,0.28
12/04/2022,07:20:34,-33.89134,18.95952,235.9,1.28
12/04/2022,07:20:36,-33.89136,18.9595,235.9,2.41
12/04/2022,07:20:38,-33.89137,18.95948,235.9,2.5
12/04/2022,07:20:39,-33.89138,18.95948,235.9,2.56
12/04/2022,07:20:40,-33.89139,18.95947,235.9,2.65
12/04/2022,07:20:42,-33.89141,18.95945,236.1,3.33
12/04/2022,07:20:43,-33.89141,18.95944,236.2,4.13
12/04/2022,07:20:45,-33.89146,18.95938,236.9,12.93
12/04/2022,07:20:47,-33.89155,18.95932,237.8,17.61
12/04/2022,07:20:49,-33.89165,18.95927,238.5,22.71
12/04/2022,07:20:51,-33.89179,18.95922,239,28.24
12/04/2022,07:20:53,-33.89194,18.95918,239,30.52
12/04/2022,07:20:54,-33.89202,18.95916,239.3,30.65
12/04/2022,07:20:55,-33.8921,18.95914,239.6,29.98
12/04/2022,07:20:57,-33.89224,18.95911,240,27.06
12/04/2022,07:20:59,-33.89239,18.95907,240,29.34
12/04/2022,07:21:00,-33.89247,18.95905,240,29.97
12/04/2022,07:21:01,-33.89254,18.95903,239.6,31.67
12/04/2022,07:21:02,-33.89263,18.95901,238.9,34.98
12/04/2022,07:21:03,-33.89273,18.95899,238,36.76
12/04/2022,07:21:05,-33.89292,18.95894,236.8,38.35
12/04/2022,07:21:06,-33.89301,18.95892,236.2,39.3
12/04/2022,07:21:08,-33.89321,18.95887,235.4,41.11
12/04/2022,07:21:10,-33.89341,18.95882,235.5,38.71
12/04/2022,07:21:11,-33.89351,18.9588,236.2,38.23
12/04/2022,07:21:12,-33.8936,18.95877,237.2,37.89
12/04/2022,07:21:14,-33.89379,18.95872,239.8,37.35
12/04/2022,07:21:16,-33.89397,18.95867,242.2,36.93
12/04/2022,07:21:18,-33.89416,18.95863,244.7,37.15
12/04/2022,07:21:19,-33.89426,18.95861,245.7,35.65
12/04/2022,07:21:21,-33.89442,18.95857,246.8,33.11
12/04/2022,07:21:22,-33.8945,18.95855,247.1,31.71
12/04/2022,07:21:23,-33.89457,18.95853,247.3,29.3
12/04/2022,07:21:24,-33.89464,18.95852,247.5,29.3
12/04/2022,07:21:25,-33.89471,18.9585,247.8,28.89
12/04/2022,07:21:26,-33.89478,18.95849,247.6,29.26
12/04/2022,07:21:27,-33.89485,18.95847,247.6,29.82
12/04/2022,07:21:29,-33.895,18.95843,247.6,30.5
12/04/2022,07:21:31,-33.89514,18.95838,247.7,29.35
12/04/2022,07:21:33,-33.89527,18.95833,248.1,29.09
12/04/2022,07:21:35,-33.89541,18.95826,248,30.11
12/04/2022,07:21:36,-33.89548,18.95823,248.1,31.93
12/04/2022,07:21:37,-33.89556,18.95818,248.8,32.56
12/04/2022,07:21:39,-33.8957,18.95808,251.2,32.69
12/04/2022,07:21:40,-33.89577,18.95803,252.2,32.69
12/04/2022,07:21:42,-33.89591,18.95792,252.4,33.45
12/04/2022,07:21:43,-33.89599,18.95786,252.3,34.35
12/04/2022,07:21:45,-33.89614,18.95774,252.3,35.54
12/04/2022,07:21:46,-33.89622,18.95768,252.7,35.43
12/04/2022,07:21:47,-33.89629,18.95762,253.1,34.93
12/04/2022,07:21:48,-33.89636,18.95756,253.6,34.24
12/04/2022,07:21:49,-33.89643,18.95751,253.8,33.67
12/04/2022,07:21:51,-33.89657,18.95742,254.1,30.43
12/04/2022,07:21:52,-33.89664,18.95739,254.2,28.45
12/04/2022,07:21:54,-33.89678,18.95733,254.7,28.45
12/04/2022,07:21:55,-33.89685,18.9573,254.9,27.13
12/04/2022,07:21:57,-33.89696,18.95727,254.9,21.72
12/04/2022,07:21:59,-33.89705,18.95725,255.2,17
12/04/2022,07:22:00,-33.89708,18.95725,255.3,14
12/04/2022,07:22:01,-33.89711,18.95724,255.5,12.15
12/04/2022,07:22:03,-33.89717,18.95722,255.8,14.06
12/04/2022,07:22:04,-33.89721,18.95722,256,15
12/04/2022,07:22:05,-33.89724,18.95721,256.1,16.11
12/04/2022,07:22:07,-33.89733,18.95719,256.1,18.63
12/04/2022,07:22:09,-33.89744,18.95716,256.1,22.39
12/04/2022,07:22:10,-33.8975,18.95715,256,24.54
12/04/2022,07:22:11,-33.89757,18.95714,255.9,25.3
12/04/2022,07:22:13,-33.89768,18.95711,255.7,22.48
12/04/2022,07:22:15,-33.89778,18.95709,255.5,19.43
12/04/2022,07:22:16,-33.89783,18.95709,255.9,20.3
12/04/2022,07:22:17,-33.89789,18.95708,256.3,21.32
12/04/2022,07:22:19,-33.898,18.95706,257,22.3
12/04/2022,07:22:21,-33.89812,18.95703,258.2,24.67
12/04/2022,07:22:23,-33.89824,18.95701,259.7,25.21
12/04/2022,07:22:25,-33.89838,18.95698,261.2,27.63
12/04/2022,07:22:27,-33.89851,18.95695,261.6,25.56
12/04/2022,07:22:28,-33.89858,18.95694,261.9,24.63
12/04/2022,07:22:29,-33.89863,18.95694,262,23.41
12/04/2022,07:22:30,-33.89869,18.95694,262,20.71
12/04/2022,07:22:31,-33.89873,18.95693,262,15.54
12/04/2022,07:22:33,-33.89878,18.95692,262,6.74
12/04/2022,07:22:34,-33.89879,18.95692,262,0.31
12/04/2022,07:22:36,-33.89879,18.95692,262,0.09
12/04/2022,07:22:37,-33.89879,18.95692,262,0.06
12/04/2022,07:22:38,-33.89879,18.95692,262,0.02
12/04/2022,07:22:40,-33.89879,18.95692,262,0.02
12/04/2022,07:22:42,-33.8988,18.95692,262,0.04
12/04/2022,07:22:43,-33.8988,18.95692,262,0.02
12/04/2022,07:22:44,-33.8988,18.95692,262,0.02
12/04/2022,07:22:46,-33.8988,18.95692,262,0.02
12/04/2022,07:22:48,-33.8988,18.95692,262,0.02
12/04/2022,07:22:49,-33.8988,18.95692,262,0
12/04/2022,07:22:51,-33.8988,18.95692,262,0.02
12/04/2022,07:22:52,-33.8988,18.95692,262,0.02
12/04/2022,07:22:53,-33.8988,18.95692,262,0.02
12/04/2022,07:22:55,-33.8988,18.95692,262,0.02
12/04/2022,07:22:57,-33.8988,18.95692,262,0.02
12/04/2022,07:22:58,-33.8988,18.95692,262,0.02
12/04/2022,07:22:59,-33.8988,18.95692,262,0.24
12/04/2022,07:23:00,-33.8988,18.95692,262,0.13
12/04/2022,07:23:01,-33.8988,18.95692,262,0.26
12/04/2022,07:23:03,-33.8988,18.95692,262,0.04
12/04/2022,07:23:05,-33.89879,18.95692,262,0.19
12/04/2022,07:23:07,-33.89879,18.95692,262,0.26
12/04/2022,07:23:09,-33.89879,18.95692,262,0.43
12/04/2022,07:23:10,-33.89879,18.95692,262,0.41
12/04/2022,07:23:11,-33.89879,18.95692,262,0.5
12/04/2022,07:23:12,-33.89879,18.95692,262,0.52
12/04/2022,07:23:13,-33.89879,18.95692,262,0.63
12/04/2022,07:23:15,-33.89879,18.95691,262,0.56
12/04/2022,07:23:16,-33.89879,18.95691,262,0.5
12/04/2022,07:23:18,-33.89878,18.95691,262,0.57
12/04/2022,07:23:20,-33.89878,18.95691,262,0.48
12/04/2022,07:23:21,-33.89878,18.95691,262,0.48
12/04/2022,07:23:22,-33.89878,18.95691,262,0.41
12/04/2022,07:23:24,-33.89878,18.95691,262,0.37
12/04/2022,07:23:25,-33.89878,18.95691,262,0.33
12/04/2022,07:23:26,-33.89878,18.95691,262,0.46
12/04/2022,07:23:28,-33.89878,18.95691,262,0.28
12/04/2022,07:23:30,-33.89877,18.95691,261.9,0.24
12/04/2022,07:23:31,-33.89877,18.95691,261.9,0.2
12/04/2022,07:23:33,-33.89877,18.95691,261.9,0.15
12/04/2022,07:23:34,-33.89877,18.95691,261.9,0.17
12/04/2022,07:23:36,-33.89877,18.95691,261.9,0.31
12/04/2022,07:23:37,-33.89877,18.95691,261.9,0.35
12/04/2022,07:23:39,-33.89878,18.95691,262,0.59
12/04/2022,07:23:41,-33.89878,18.95691,262,0.39
12/04/2022,07:23:43,-33.89878,18.95691,262,0.2
12/04/2022,07:23:45,-33.89878,18.95691,262,0.19
12/04/2022,07:23:46,-33.89878,18.95691,262,0.26
12/04/2022,07:23:47,-33.89878,18.95691,262,0.33
12/04/2022,07:23:48,-33.89878,18.95691,262,0.37
12/04/2022,07:23:49,-33.89878,18.95691,262,0.28
12/04/2022,07:23:51,-33.89878,18.95692,262,0.13
12/04/2022,07:23:52,-33.89878,18.95691,262,0.11
12/04/2022,07:23:53,-33.89878,18.95691,262,0.17
12/04/2022,07:23:54,-33.89878,18.95691,262,0.06
12/04/2022,07:23:55,-33.89878,18.95691,262,0.43
12/04/2022,07:23:56,-33.89878,18.95691,262,1.43
12/04/2022,07:23:57,-33.89879,18.95691,262,3.37
12/04/2022,07:23:58,-33.89879,18.95691,262,6.17
12/04/2022,07:24:00,-33.89888,18.95688,262,18.87
12/04/2022,07:24:02,-33.89899,18.95685,262.2,25.65
12/04/2022,07:24:03,-33.89907,18.95684,262.5,29.54
12/04/2022,07:24:04,-33.89915,18.95681,262.9,34.61
12/04/2022,07:24:06,-33.89934,18.95674,263.5,41.67
12/04/2022,07:24:07,-33.89945,18.9567,263.7,43.08
12/04/2022,07:24:08,-33.89955,18.95666,262.9,45.91
12/04/2022,07:24:10,-33.89979,18.95654,259.7,51.13
12/04/2022,07:24:11,-33.89991,18.95647,258.3,53.65
12/04/2022,07:24:13,-33.90017,18.95631,258,59.41
12/04/2022,07:24:15,-33.90044,18.9561,258,62.91
12/04/2022,07:24:16,-33.90056,18.95598,259.4,62.89
12/04/2022,07:24:17,-33.90069,18.95587,261,62.32
12/04/2022,07:24:19,-33.90092,18.95564,263.7,57.43
12/04/2022,07:24:21,-33.90112,18.95543,264.2,50.73
12/04/2022,07:24:23,-33.9013,18.95526,264.2,44.34
12/04/2022,07:24:25,-33.90147,18.9551,265.2,41.71
12/04/2022,07:24:26,-33.90155,18.95503,265.5,37.69
12/04/2022,07:24:27,-33.90161,18.95497,265.6,32.02
12/04/2022,07:24:28,-33.90167,18.95493,265.5,26.02
12/04/2022,07:24:30,-33.90173,18.95488,265.5,10.93
12/04/2022,07:24:31,-33.90174,18.95487,265.5,6.32
12/04/2022,07:24:33,-33.90174,18.95487,265.5,0.17
12/04/2022,07:24:34,-33.90174,18.95487,265.5,0.09
12/04/2022,07:24:35,-33.90174,18.95487,265.5,0.04
12/04/2022,07:24:37,-33.90174,18.95487,265.5,0.13
12/04/2022,07:24:38,-33.90174,18.95487,265.5,0.52
12/04/2022,07:24:39,-33.90175,18.95485,265.6,8.3
12/04/2022,07:24:40,-33.90177,18.95483,265.7,11.04
12/04/2022,07:24:41,-33.9018,18.9548,265.8,15.59
12/04/2022,07:24:42,-33.90184,18.95476,266,19.78
12/04/2022,07:24:44,-33.90192,18.95467,266.5,23.95
12/04/2022,07:24:46,-33.90205,18.95456,267,32.1
12/04/2022,07:24:47,-33.90212,18.9545,267.5,35.89
12/04/2022,07:24:48,-33.90221,18.95442,268.3,39.73
12/04/2022,07:24:49,-33.90229,18.95434,269.1,41.8
12/04/2022,07:24:51,-33.90247,18.95419,270.7,44.19
12/04/2022,07:24:52,-33.90257,18.95411,271.3,45.08
12/04/2022,07:24:53,-33.90266,18.95403,271.8,46.1
12/04/2022,07:24:54,-33.90277,18.95395,272.5,45.6
12/04/2022,07:24:56,-33.90295,18.95379,273.2,44.56
12/04/2022,07:24:58,-33.90314,18.95363,273.9,44.47
12/04/2022,07:24:59,-33.90324,18.95355,273.7,44.52
12/04/2022,07:25:00,-33.90332,18.95347,273.7,43.71
12/04/2022,07:25:01,-33.90341,18.9534,274.3,41.1
12/04/2022,07:25:02,-33.90349,18.95334,274.9,37
12/04/2022,07:25:04,-33.90361,18.95323,276.5,26.56
12/04/2022,07:25:05,-33.90366,18.95319,277,22.22
12/04/2022,07:25:07,-33.90375,18.95312,277.7,20.52
12/04/2022,07:25:09,-33.90385,18.95304,278.3,23.74
12/04/2022,07:25:10,-33.90389,18.953,278.6,25.87
12/04/2022,07:25:12,-33.90401,18.95291,278.9,30.54
12/04/2022,07:25:13,-33.90407,18.95285,279.1,31.65
12/04/2022,07:25:15,-33.9042,18.95274,278.7,30.76
12/04/2022,07:25:17,-33.90432,18.95264,278.1,29.59
